folder,collection_item_id,instance_id,release_id,artist,title,year,country,label,catno,genre,style,format,img,img_full
Personal,6732637,2105949888,6732637,Black Sabbath,Black Sabbath,1970,US,Warner Bros. Records,WS 1871,Rock,Hard Rock,"Vinyl, LP, Album, Promo, Stereo",images/thumbs/57da110c3eee6c08.jpeg,images/57da110c3eee6c08.jpeg
Personal,380907,2105950924,380907,Black Sabbath,Sabotage,1975,US,Warner Bros. Records,BS 2822,Rock,Hard Rock,"Vinyl, LP, Album, Stereo",images/thumbs/865523ca7f71f843.jpeg,images/865523ca7f71f843.jpeg
Personal,707939,2105969366,707939,"Blood, Sweat And Tears","B, S & T 4",1971,US,Columbia,KC 30590,Rock,Blues Rock,"Vinyl, LP, Album",images/thumbs/32dc0ab87406aa06.jpeg,images/32dc0ab87406aa06.jpeg
Personal,15221571,2089487299,15221571,"Blood, Sweat And Tears","Blood, Sweat & Tears",1969,US,Columbia,CS 9720,Rock,Blues Rock,"Vinyl, LP, Album, Reissue, Stereo",images/thumbs/7645040cb525beed.jpeg,images/7645040cb525beed.jpeg
Personal,15221571,2105951819,15221571,"Blood, Sweat And Tears","Blood, Sweat & Tears",1969,US,Columbia,CS 9720,Rock,Blues Rock,"Vinyl, LP, Album, Reissue, Stereo",images/thumbs/7645040cb525beed.jpeg,images/7645040cb525beed.jpeg
Personal,707932,2090226954,707932,"Blood, Sweat And Tears","Blood, Sweat & Tears Greatest Hits",1972,US,Columbia,KC 31170,Jazz,Blues Rock,"Vinyl, LP, Album, Compilation, Stereo",images/thumbs/e4377eae634b8757.jpeg,images/e4377eae634b8757.jpeg
Personal,15741406,2107842828,15741406,"Blood, Sweat And Tears","Blood, Sweat & Tears Greatest Hits",1972,US,Columbia,KC 31170,Jazz,Classic Rock,"Vinyl, LP, Compilation, Stereo",images/thumbs/1c6440685cea7d4a.jpeg,images/1c6440685cea7d4a.jpeg
Personal,11657141,2105963554,11657141,"Blood, Sweat And Tears","Blood, Sweat And Tears 3",1970,US,Columbia,KC 30090,Rock,Jazz-Rock,"Vinyl, LP, Album",images/thumbs/46b61ee7c0c59787.jpeg,images/46b61ee7c0c59787.jpeg
Personal,708632,2109813402,708632,"Blood, Sweat And Tears","Blood, Sweat And Tears 3",1970,US,Columbia,KC 30090,Rock,Jazz-Rock,"Vinyl, LP, Album",images/thumbs/beba375787e590cb.jpeg,images/beba375787e590cb.jpeg
Personal,15213353,2101223678,15213353,"Blood, Sweat And Tears",Brand New Day,1977,US,ABC Records,AB-1015,Rock,Soft Rock,"Vinyl, LP, Album, Stereo",images/thumbs/e58d10aceb897f5f.jpeg,images/e58d10aceb897f5f.jpeg
Personal,7717011,2109816302,7717011,"Blood, Sweat And Tears",Child Is Father To The Man,1968,US,Columbia,CS 9619,Jazz,Blues Rock,"Vinyl, LP, Album, Stereo",images/thumbs/a72f778ff8259972.jpeg,images/a72f778ff8259972.jpeg
Personal,708657,2092372631,708657,"Blood, Sweat And Tears",New Blood,1972,US,Columbia,KC 31780,Jazz,Blues Rock,"Vinyl, LP, Album, Stereo",images/thumbs/aec0f90da35a9f56.jpeg,images/aec0f90da35a9f56.jpeg
Personal,458618,2109809691,458618,Blue Öyster Cult,On Your Feet Or On Your Knees,1975,Europe,CBS,CBS 88116,Rock,Hard Rock,"2x, Vinyl, LP, Album, Repress, Stereo",images/thumbs/03faa4533f28947e.jpeg,images/03faa4533f28947e.jpeg
Personal,11105483,2089487310,11105483,The Blues Brothers,Briefcase Full Of Blues,1978,US,Atlantic,SD 19217,Blues,Chicago Blues,"Vinyl, LP, Album, Club Edition",images/thumbs/9f347ee617e251f0.jpeg,images/9f347ee617e251f0.jpeg
Personal,2584801,2101223074,2584801,Blues Magoos,Electric Comic Book,1967,US,Mercury,SR 61104,Rock,Psychedelic Rock,"Vinyl, LP, Album, Stereo",images/thumbs/102a81f11dc17498.jpeg,images/102a81f11dc17498.jpeg
Personal,10285667,2109805448,10285667,Bob Dylan,Bob Dylan's Greatest Hits,1967,US,Columbia,KCS 9463,Rock,Folk Rock,"Vinyl, LP, Compilation, Stereo",images/thumbs/1652b69d83475941.jpeg,images/1652b69d83475941.jpeg
Personal,3007372,2107835965,3007372,Bob James,Obsession,1986,US,Warner Bros. Records,W1-25495,Jazz,Jazz-Funk,"Vinyl, LP, Album, Club Edition",images/thumbs/7ff65b592730b24b.jpeg,images/7ff65b592730b24b.jpeg
Personal,12316185,2089487321,12316185,Bob Seger And The Silver Bullet Band,Against The Wind,1980,US,Capitol Records,SOO-12041,Rock,Blues Rock,"Vinyl, LP, Album",images/thumbs/d1b04ed5766c2cdf.jpeg,images/d1b04ed5766c2cdf.jpeg
Personal,574663,2105943677,574663,Bob Seger And The Silver Bullet Band,Against The Wind,1980,US,Capitol Records,SOO-12041,Rock,Blues Rock,"Vinyl, LP, Album",images/thumbs/252731e5334264de.jpeg,images/252731e5334264de.jpeg
Personal,19189204,2101265119,19189204,Bob Seger And The Silver Bullet Band,Live Bullet,1976,US,Capitol Records,SKBB-11523,Rock,Rock & Roll,"2x, Vinyl, LP, Album",images/thumbs/235feafd34dce364.jpeg,images/235feafd34dce364.jpeg
Personal,13925161,2089487324,13925161,Bob Seger And The Silver Bullet Band,Night Moves,1986,US,Capitol Records,ST-11557,Rock,Pop Rock,"Vinyl, LP, Album, Reissue",images/thumbs/c06613502ccc3063.jpeg,images/c06613502ccc3063.jpeg
Personal,10244818,2089487329,10244818,Bob Seger And The Silver Bullet Band,Stranger In Town,1978,US,Capitol Records,SW-11698,Rock,Rock & Roll,"Vinyl, LP, Album",images/thumbs/b137747f32afa079.jpeg,images/b137747f32afa079.jpeg
Personal,25896247,2105947666,25896247,Bob Seger And The Silver Bullet Band,Stranger In Town,1978,US,Capitol Records,SW-11698,Rock,Rock & Roll,"Vinyl, LP, Album, Stereo",images/thumbs/94fbb4d6728f7119.jpeg,images/94fbb4d6728f7119.jpeg
Personal,1846088,2101219474,1846088,Bob Seger And The Silver Bullet Band,The Distance,1982,US,Capitol Records,ST-12254,Rock,Classic Rock,"Vinyl, LP, Album, Stereo",images/thumbs/d993f768281457d7.jpeg,images/d993f768281457d7.jpeg
Personal,23235191,2107975337,23235191,Boots Randolph,Boots With Strings,1966,US,Monument,SLP 18066,Jazz,Easy Listening,"Vinyl, LP, Album, Stereo",images/thumbs/9bec245372cb9ebf.jpeg,images/9bec245372cb9ebf.jpeg
Personal,560341,2107844183,560341,Boz Scaggs,Hits!,1980,US,Columbia,FC 36841,Rock,Soft Rock,"Vinyl, LP, Compilation, Stereo",images/thumbs/9bd961928c12279e.jpeg,images/9bd961928c12279e.jpeg
Personal,713519,2105947111,713519,Boz Scaggs,Silk Degrees,1976,US,Columbia,PC 33920,Rock,Pop Rock,"Vinyl, LP, Album, Stereo",images/thumbs/67c80956255c1470.jpeg,images/67c80956255c1470.jpeg
Personal,1318761,2105966286,1318761,Brand X (3),Moroccan Roll,1977,US,Passport Records,PP 98022,Jazz,Fusion,"Vinyl, LP, Album, Stereo",images/thumbs/754e602148fa9d4e.jpeg,images/754e602148fa9d4e.jpeg
